AREA,能源,教育,發展,環境,遊戲,生活,永續,目標,影響,議題,學童,發電,人類,學習,配置,教材,世界,年,經濟,鹿羣
災害,0.3048574924468994,0.24778752028942108,0.4865877628326416,0.46808987855911255,0.3720821738243103,0.4269476532936096,0.4672958254814148,0.41542699933052063,0.5689759850502014,0.5422470569610596,0.36299705505371094,0.3339056372642517,0.4431089162826538,0.3252521753311157,0.3750840127468109,0.34525543451309204,0.47810548543930054,0.40408456325531006,0.3611029386520386,0.3209238350391388
維生基礎設施,0.4671080410480499,0.3331201374530792,0.5293256044387817,0.6221895217895508,0.2940475344657898,0.5878381729125977,0.36710530519485474,0.41706424951553345,0.39111781120300293,0.4542507529258728,0.24035443365573883,0.38942986726760864,0.3522683084011078,0.3465978503227234,0.5004841089248657,0.4159162938594818,0.4069809317588806,0.33390992879867554,0.45368796586990356,0.22151188552379608
水資源,0.36399173736572266,0.2707715928554535,0.3871855139732361,0.5211246609687805,0.24799399077892303,0.296543151140213,0.2633931636810303,0.3305683135986328,0.33015334606170654,0.38841378688812256,0.2292037010192871,0.3467769920825958,0.32468608021736145,0.28358569741249084,0.31502777338027954,0.35551947355270386,0.3565215766429901,0.2832065224647522,0.3783148527145386,0.20240533351898193
土地使用,0.2883723974227905,0.36753422021865845,0.46632105112075806,0.554588794708252,0.3241700530052185,0.32553327083587646,0.3124207556247711,0.4444708228111267,0.4278988242149353,0.5023030042648315,0.3019677400588989,0.34575748443603516,0.3238953649997711,0.36001747846603394,0.47933265566825867,0.3897703289985657,0.4335595965385437,0.3385356664657593,0.4174215793609619,0.3316906690597534
海岸,0.23419930040836334,0.30060040950775146,0.40114420652389526,0.42868679761886597,0.3526790738105774,0.4138028025627136,0.4435443580150604,0.42566925287246704,0.40150320529937744,0.4479135274887085,0.31979820132255554,0.16422253847122192,0.3627535104751587,0.3080999255180359,0.4134199321269989,0.35104283690452576,0.43009209632873535,0.3889019191265106,0.26499947905540466,0.2508464455604553
能源,0.9999999403953552,0.31656530499458313,0.45478570461273193,0.5104483366012573,0.38449251651763916,0.4457351565361023,0.3905826210975647,0.4299647808074951,0.5115944147109985,0.4853200316429138,0.3232156038284302,0.7564096450805664,0.4191437065601349,0.3358360528945923,0.4166713356971741,0.38035210967063904,0.4596906304359436,0.4217373728752136,0.5422638654708862,0.20671860873699188
農業生產,0.3146727383136749,0.3430149555206299,0.48312777280807495,0.38699474930763245,0.22673597931861877,0.23587405681610107,0.22419176995754242,0.32975003123283386,0.25273600220680237,0.35245856642723083,0.2619530260562897,0.33846336603164673,0.27957913279533386,0.2827659845352173,0.36743539571762085,0.34497740864753723,0.30712661147117615,0.29983943700790405,0.5245733857154846,0.3265186548233032
生物多樣性,0.3360963463783264,0.32785698771476746,0.4299815595149994,0.5834065079689026,0.2581396698951721,0.41722753643989563,0.36253803968429565,0.2848167419433594,0.37574827671051025,0.44281816482543945,0.27162009477615356,0.21248000860214233,0.402396559715271,0.3442564010620117,0.36654573678970337,0.41949471831321716,0.4675884246826172,0.34564322233200073,0.33441317081451416,0.5186835527420044
健康,0.3740665316581726,0.37308943271636963,0.4695588946342468,0.46215927600860596,0.3724547326564789,0.4880717396736145,0.374525249004364,0.4242408871650696,0.4749828279018402,0.5882534980773926,0.4049268662929535,0.26203182339668274,0.5020055770874023,0.3956882357597351,0.37897446751594543,0.4397651255130768,0.4162213206291199,0.4208764135837555,0.45390528440475464,0.20317235589027405
