AREA,木材,木工,校園,環境,廢棄,產品,利用,推廣,合作,教育,資源,可行性,永續,樹木,做,製作,校園內,⚫,減少,計劃
災害,0.3118586540222168,0.2701241672039032,0.30572980642318726,0.46808987855911255,0.5092679262161255,0.3147255778312683,0.32611292600631714,0.43604952096939087,0.3510969579219818,0.24778752028942108,0.43509775400161743,0.4556276798248291,0.4672958254814148,0.34706878662109375,0.3532046377658844,0.46186476945877075,0.31021398305892944,0.4671883285045624,0.4282877445220947,0.45556560158729553
維生基礎設施,0.3454827666282654,0.328765869140625,0.37988847494125366,0.6221895217895508,0.29436802864074707,0.37123021483421326,0.371685653924942,0.4947718679904938,0.38114190101623535,0.3331201374530792,0.6092875003814697,0.5196080803871155,0.36710530519485474,0.27550938725471497,0.2891297936439514,0.4715602397918701,0.37356290221214294,0.3210262358188629,0.2792123258113861,0.5037741661071777
水資源,0.2919618487358093,0.23491521179676056,0.2750292718410492,0.5211246609687805,0.3001236021518707,0.39736074209213257,0.34016475081443787,0.3299061059951782,0.2929607629776001,0.2707715928554535,0.5464349985122681,0.3737524151802063,0.2633931636810303,0.248450368642807,0.25373589992523193,0.38996022939682007,0.24856185913085938,0.3306579887866974,0.3243991434574127,0.3599156141281128
土地使用,0.3430238962173462,0.3213570713996887,0.3738269507884979,0.554588794708252,0.35590553283691406,0.3516475558280945,0.5120334625244141,0.43320101499557495,0.336739718914032,0.36753422021865845,0.5557236075401306,0.3758000433444977,0.3124207556247711,0.3084905743598938,0.34053629636764526,0.45730888843536377,0.3499470353126526,0.3646095097064972,0.3509494662284851,0.3658277988433838
海岸,0.3128761351108551,0.22660404443740845,0.3325587213039398,0.42868679761886597,0.3571678698062897,0.33265790343284607,0.31576502323150635,0.42477115988731384,0.2839388847351074,0.30060040950775146,0.4073321223258972,0.3168209195137024,0.4435443580150604,0.23889656364917755,0.368547260761261,0.4090460240840912,0.33449482917785645,0.4781666398048401,0.30813801288604736,0.40914207696914673
能源,0.33595287799835205,0.3464919924736023,0.2675352394580841,0.5104483366012573,0.2918054163455963,0.4432075023651123,0.45875200629234314,0.49779966473579407,0.331074059009552,0.31656530499458313,0.553524374961853,0.4818052053451538,0.3905826210975647,0.3264654576778412,0.3505445718765259,0.5222548842430115,0.2662290334701538,0.39132165908813477,0.336411714553833,0.39446595311164856
農業生產,0.3265620768070221,0.3528563976287842,0.2599388360977173,0.38699474930763245,0.2196483016014099,0.4392448663711548,0.2989572286605835,0.39085501432418823,0.3072996437549591,0.3430149555206299,0.39692074060440063,0.2835569977760315,0.22419176995754242,0.2694464325904846,0.27249282598495483,0.5593470335006714,0.25806835293769836,0.28717273473739624,0.2673405706882477,0.3343876004219055
生物多樣性,0.3327031135559082,0.18362213671207428,0.30880945920944214,0.5834065079689026,0.2764313220977783,0.4113500118255615,0.2796568274497986,0.3657503128051758,0.2772427797317505,0.32785698771476746,0.5442529320716858,0.37403976917266846,0.36253803968429565,0.49809157848358154,0.2444983869791031,0.3715001940727234,0.2887376546859741,0.38923418521881104,0.26746535301208496,0.3346099853515625
健康,0.24263522028923035,0.1834605634212494,0.2533062994480133,0.46215927600860596,0.31704169511795044,0.4572749733924866,0.43638086318969727,0.4820839762687683,0.31093400716781616,0.37308943271636963,0.47279900312423706,0.4252890646457672,0.374525249004364,0.23069481551647186,0.33374032378196716,0.3517087996006012,0.28014010190963745,0.3991631865501404,0.36360472440719604,0.3862272799015045
