AREA,,ns,,bagsarecommonwayusedinnurserybymajorityofpeople,However,thiswayiscriticalco,ideredtobenotsustainablealthoughpeoplestillcontinuetousingtheminnurseryfarmingandreforestationactivities,Inthefaceofthedestructiveeffectofhumanactivitiesonvariousenvironmentalresources,asSustainableDevelopment,ourteamplannedandcommittedtoincorporatingecologicalco,ervationandsustainabledevelopmentideasintoplanningconceptsbypromotingbananabarkusageincommunitiesObjectivesTheoverallobjectiveoftheprojectis,Tobuildecocommunities,gree,choolsandgreenuniversities,Helpingthefarmersincommunitiestosolveenvironmentalpollutionbyusingorganicmaterials,ConnectingsmallgardenfarmerstotheuseofbananabarkMethodsandmaterialsA,CommunityparticipationB,WorkshopinCJCUandcommunities1,ProcedureA,createfreeplasticproject
災害,0.3337840437889099,0.43958258628845215,0.4955989718437195,0.16685530543327332,0.5468336343765259,0.315016508102417,0.3227606415748596,0.2901674509048462,0.3013513684272766,0.31973302364349365,0.15522420406341553,0.22203916311264038,0.379604697227478,0.13651616871356964,0.049552202224731445,0.04666964337229729,0.17927676439285278,0.18089686334133148,0.26285314559936523,0.1302223652601242
維生基礎設施,0.27317631244659424,0.38086920976638794,0.3712749779224396,0.1380571722984314,0.29627087712287903,0.287057101726532,0.35683149099349976,0.4743500053882599,0.6968499422073364,0.3226194679737091,0.2958022356033325,0.22763442993164062,0.2295854240655899,0.25993993878364563,0.2183498740196228,0.1617240309715271,0.38352036476135254,0.20390266180038452,0.21975193917751312,0.3042713701725006
水資源,0.33124053478240967,0.35142403841018677,0.3949391841888428,0.18914392590522766,0.3442875146865845,0.2109265923500061,0.26889273524284363,0.39421290159225464,0.40894490480422974,0.2649247646331787,0.2330656200647354,0.18372425436973572,0.19464336335659027,0.2241666316986084,0.20758670568466187,0.18334048986434937,0.2156190127134323,0.10924427211284637,0.1988690346479416,0.1332305669784546
土地使用,0.3408209979534149,0.4473811089992523,0.4359701871871948,0.189804807305336,0.338184654712677,0.18739713728427887,0.3726232647895813,0.3154807686805725,0.46785223484039307,0.2635155916213989,0.2069421410560608,0.025381965562701225,0.2827516794204712,0.2544843256473541,0.10868088901042938,0.09771506488323212,0.270430326461792,0.08979669213294983,0.30223706364631653,0.13958442211151123
海岸,0.40673887729644775,0.47144991159439087,0.49249470233917236,0.13880209624767303,0.4054683446884155,0.32084524631500244,0.1882307529449463,0.2014661729335785,0.17925778031349182,0.2206430733203888,0.10424655675888062,0.08728513866662979,0.32074230909347534,0.19166770577430725,0.04759153351187706,0.09554903954267502,0.09540440142154694,0.08884353935718536,0.24581480026245117,0.07909630984067917
能源,0.39964157342910767,0.43128591775894165,0.4902861714363098,0.09317720681428909,0.3849911093711853,0.2533072233200073,0.22641214728355408,0.3130981922149658,0.42098474502563477,0.2403731346130371,0.21285274624824524,0.15517710149288177,0.37945356965065,0.2082972526550293,0.10912764072418213,0.06587609648704529,0.11396050453186035,0.14208003878593445,0.14533574879169464,0.16725167632102966
農業生產,0.28536686301231384,0.37486064434051514,0.3389562964439392,0.08069813996553421,0.24487847089767456,0.20293603837490082,0.29345089197158813,0.2279587984085083,0.47867560386657715,0.18694263696670532,0.21815338730812073,0.08306073397397995,0.250232994556427,0.1939479112625122,0.06048039719462395,0.12204532325267792,0.1057475358247757,0.15587987005710602,0.26240384578704834,0.125713512301445
生物多樣性,0.3203055262565613,0.3752484619617462,0.40867558121681213,0.15264087915420532,0.34452417492866516,0.26667678356170654,0.5214208364486694,0.5220385789871216,0.4378734230995178,0.2927800118923187,0.36153680086135864,0.30712807178497314,0.41321414709091187,0.2457212209701538,0.2581329941749573,0.24117997288703918,0.2753452658653259,0.27880966663360596,0.1998797357082367,0.10849456489086151
健康,0.33576464653015137,0.46150708198547363,0.48803678154945374,0.2888302206993103,0.4496925473213196,0.2979904115200043,0.25438591837882996,0.22727078199386597,0.3264044225215912,0.3535936772823334,0.26501786708831787,0.3000681698322296,0.374187707901001,0.23820441961288452,0.12859795987606049,0.09591059386730194,0.26191723346710205,0.22758495807647705,0.3001912236213684,0.06732174754142761
