AREA,減少,紙,裝置,全球,生產,目標,永續,廢紙,專案,紙類,利用,消耗,預期,統計,效益,預計,臺灣,約,張,地球
災害,0.4282877445220947,0.360308438539505,0.3628973960876465,0.41160234808921814,0.343633770942688,0.41542699933052063,0.4672958254814148,0.4157920479774475,0.5246527194976807,0.3434599041938782,0.32611292600631714,0.38604509830474854,0.42718613147735596,0.46452388167381287,0.4025671184062958,0.4759761691093445,0.2596859931945801,0.5177708864212036,0.5319082736968994,0.4320816993713379
維生基礎設施,0.2792123258113861,0.3184700012207031,0.42295750975608826,0.39257895946502686,0.37529686093330383,0.41706424951553345,0.36710530519485474,0.2581709027290344,0.4591936469078064,0.3139803409576416,0.371685653924942,0.43861088156700134,0.37811219692230225,0.4135025143623352,0.43678680062294006,0.37407946586608887,0.260256826877594,0.3249351978302002,0.3585028350353241,0.46302083134651184
水資源,0.3243991434574127,0.29281070828437805,0.3357447385787964,0.3058585524559021,0.3727549910545349,0.3305683135986328,0.2633931636810303,0.3048890233039856,0.3786739706993103,0.28787878155708313,0.34016475081443787,0.4513629078865051,0.2763957381248474,0.36933785676956177,0.3241841495037079,0.27836811542510986,0.2272779941558838,0.3402252793312073,0.33396801352500916,0.43476545810699463
土地使用,0.3509494662284851,0.2963058352470398,0.35670673847198486,0.426730751991272,0.39983224868774414,0.4444708228111267,0.3124207556247711,0.3080960512161255,0.43999239802360535,0.3005651533603668,0.5120334625244141,0.4789573550224304,0.25526395440101624,0.3462025821208954,0.3940940499305725,0.2646644115447998,0.3226916790008545,0.3747539520263672,0.38426902890205383,0.6151202917098999
海岸,0.30813801288604736,0.3060529828071594,0.3514666259288788,0.413313090801239,0.3331727981567383,0.42566925287246704,0.4435443580150604,0.3151831328868866,0.4569393992424011,0.30786189436912537,0.31576502323150635,0.36670899391174316,0.35062408447265625,0.33578187227249146,0.3273729979991913,0.3978782594203949,0.4483846426010132,0.512999951839447,0.48538294434547424,0.4938775300979614
能源,0.336411714553833,0.32005536556243896,0.4723834991455078,0.3767533004283905,0.4817807376384735,0.4299647808074951,0.3905826210975647,0.2651733160018921,0.47201353311538696,0.3041289150714874,0.45875200629234314,0.5355508923530579,0.4125928282737732,0.42616480588912964,0.5131334662437439,0.4154455065727234,0.2039240002632141,0.4309401214122772,0.4464552402496338,0.48797425627708435
農業生產,0.2673405706882477,0.19771048426628113,0.24850675463676453,0.28775689005851746,0.7207844257354736,0.32975003123283386,0.22419176995754242,0.17849811911582947,0.3742469549179077,0.19631898403167725,0.2989572286605835,0.3794670104980469,0.29219844937324524,0.3499692678451538,0.33424657583236694,0.28557953238487244,0.20107713341712952,0.2998795807361603,0.30751001834869385,0.3799254894256592
生物多樣性,0.26746535301208496,0.24601858854293823,0.2876170575618744,0.41204553842544556,0.32494601607322693,0.2848167419433594,0.36253803968429565,0.2114832103252411,0.42269167304039,0.2507462501525879,0.2796568274497986,0.33772963285446167,0.2993282973766327,0.42440372705459595,0.3078513741493225,0.31716448068618774,0.2096436619758606,0.39575886726379395,0.3845197856426239,0.5048390030860901
健康,0.36360472440719604,0.34662216901779175,0.35460251569747925,0.36050134897232056,0.2659008204936981,0.4242408871650696,0.374525249004364,0.2872413098812103,0.46162235736846924,0.32758629322052,0.43638086318969727,0.5437518358230591,0.4165535569190979,0.517753005027771,0.5461484789848328,0.419825941324234,0.26289236545562744,0.48225390911102295,0.48889291286468506,0.35590898990631104
