AREA,災害,遊戲,階段,系統,認知,透過,管理,經濟,桌遊,相關,知識,政府,教育,策略,防災,民衆,推廣,團隊,政策,設計
災害,0.9817854762077332,0.3720821738243103,0.3872339129447937,0.35233208537101746,0.43466973304748535,0.4807078242301941,0.32393282651901245,0.3611029386520386,0.23986423015594482,0.5590009689331055,0.3168679475784302,0.35155609250068665,0.24778752028942108,0.3385513126850128,0.8144198060035706,0.5043894052505493,0.43604952096939087,0.3305222690105438,0.3997902274131775,0.3415527939796448
維生基礎設施,0.4052407741546631,0.2940475344657898,0.35152286291122437,0.38383054733276367,0.39866170287132263,0.36860162019729614,0.4318183660507202,0.45368796586990356,0.26120465993881226,0.44834086298942566,0.31228411197662354,0.33032095432281494,0.3331201374530792,0.45319339632987976,0.5078314542770386,0.38200533390045166,0.4947718679904938,0.22004911303520203,0.4573765695095062,0.47299736738204956
水資源,0.33218130469322205,0.24799399077892303,0.2972451448440552,0.3701351284980774,0.36234283447265625,0.34768640995025635,0.3299071788787842,0.3783148527145386,0.28935790061950684,0.3736402988433838,0.31029099225997925,0.2897643744945526,0.2707715928554535,0.3021467328071594,0.3992927074432373,0.3128855526447296,0.3299061059951782,0.26112866401672363,0.31473347544670105,0.3158000707626343
土地使用,0.3233065903186798,0.3241700530052185,0.37637239694595337,0.3318536877632141,0.4044010639190674,0.36660099029541016,0.4318430423736572,0.4174215793609619,0.21649956703186035,0.46673405170440674,0.3804433047771454,0.42666029930114746,0.36753422021865845,0.3916621804237366,0.42538219690322876,0.4196188747882843,0.43320101499557495,0.24109980463981628,0.46924135088920593,0.39677923917770386
海岸,0.39753782749176025,0.3526790738105774,0.40679532289505005,0.23622894287109375,0.4127737879753113,0.4016626477241516,0.33747342228889465,0.26499947905540466,0.3446733355522156,0.4648963510990143,0.3178635239601135,0.20268526673316956,0.30060040950775146,0.3543242812156677,0.4698917269706726,0.40696004033088684,0.42477115988731384,0.32579249143600464,0.3478447198867798,0.33068883419036865
能源,0.33637338876724243,0.38449251651763916,0.37244170904159546,0.3912867307662964,0.45227697491645813,0.44441506266593933,0.36866816878318787,0.5422638654708862,0.20077089965343475,0.47452229261398315,0.3567679524421692,0.26230472326278687,0.31656530499458313,0.46056580543518066,0.4405931830406189,0.3751285970211029,0.49779966473579407,0.3284012973308563,0.3863382935523987,0.43317246437072754
農業生產,0.229884073138237,0.22673597931861877,0.3254133462905884,0.27374643087387085,0.28383028507232666,0.28691285848617554,0.3981892764568329,0.5245733857154846,0.18358857929706573,0.3581688404083252,0.26043641567230225,0.29002708196640015,0.3430149555206299,0.36688774824142456,0.276557594537735,0.2682610750198364,0.39085501432418823,0.31789812445640564,0.3517218828201294,0.29958653450012207
生物多樣性,0.36317649483680725,0.2581396698951721,0.2895806133747101,0.3009205460548401,0.4130021333694458,0.32658666372299194,0.3063892722129822,0.33441317081451416,0.19147834181785583,0.43409788608551025,0.35562869906425476,0.2103169560432434,0.32785698771476746,0.28292495012283325,0.4166044294834137,0.366148978471756,0.3657503128051758,0.29067015647888184,0.3041102886199951,0.329600989818573
健康,0.34922754764556885,0.3724547326564789,0.34338921308517456,0.3620700240135193,0.5112506747245789,0.402728796005249,0.4199451804161072,0.45390528440475464,0.3192283809185028,0.5291602611541748,0.43315303325653076,0.2772608995437622,0.37308943271636963,0.37847983837127686,0.5044769048690796,0.45842444896698,0.4820839762687683,0.34344473481178284,0.46320390701293945,0.25046369433403015
