AREA,學生,教學,沉浸,教育,式,計劃,議題,方案,氣候,VR,影響,讀書,永續,社會,透過,方式,發展,內容,力,影片
災害,0.29352855682373047,0.27230510115623474,0.5154237747192383,0.24778752028942108,0.5461257100105286,0.45556560158729553,0.5422470569610596,0.4998975992202759,0.37918490171432495,0.354173481464386,0.5689759850502014,0.35852447152137756,0.4672958254814148,0.44110000133514404,0.4807078242301941,0.4409176707267761,0.4865877628326416,0.44346383213996887,0.5451350212097168,0.45151543617248535
維生基礎設施,0.26927539706230164,0.2720346748828888,0.3123345375061035,0.3331201374530792,0.36479055881500244,0.5037741661071777,0.4542507529258728,0.5332001447677612,0.4158443808555603,0.34857696294784546,0.39111781120300293,0.25282716751098633,0.36710530519485474,0.5015769600868225,0.36860162019729614,0.4295647144317627,0.5293256044387817,0.4147079586982727,0.3952305316925049,0.27805426716804504
水資源,0.23507356643676758,0.23269671201705933,0.4584380090236664,0.2707715928554535,0.35967445373535156,0.3599156141281128,0.38841378688812256,0.4095699191093445,0.40024328231811523,0.17905034124851227,0.33015334606170654,0.23988810181617737,0.2633931636810303,0.373152494430542,0.34768640995025635,0.37601739168167114,0.3871855139732361,0.3736673593521118,0.3894157409667969,0.2667132616043091
土地使用,0.25846514105796814,0.3495478630065918,0.35033971071243286,0.36753422021865845,0.42511749267578125,0.3658277988433838,0.5023030042648315,0.4179029166698456,0.34916365146636963,0.27502357959747314,0.4278988242149353,0.284711092710495,0.3124207556247711,0.4620899260044098,0.36660099029541016,0.45951569080352783,0.46632105112075806,0.37707674503326416,0.45004507899284363,0.20654040575027466
海岸,0.2766469419002533,0.3007678687572479,0.4767623245716095,0.30060040950775146,0.514823853969574,0.40914207696914673,0.4479135274887085,0.41848623752593994,0.4591303765773773,0.36420634388923645,0.40150320529937744,0.3286110758781433,0.4435443580150604,0.33093810081481934,0.4016626477241516,0.4197392165660858,0.40114420652389526,0.409406453371048,0.480968177318573,0.32925376296043396
能源,0.31599608063697815,0.29624462127685547,0.43223023414611816,0.31656530499458313,0.45265981554985046,0.39446595311164856,0.4853200316429138,0.4804316759109497,0.5062888264656067,0.2726840078830719,0.5115944147109985,0.32211172580718994,0.3905826210975647,0.4060276746749878,0.44441506266593933,0.41852444410324097,0.45478570461273193,0.4697672128677368,0.5671547651290894,0.3575652837753296
農業生產,0.2053917646408081,0.32296833395957947,0.2876739501953125,0.3430149555206299,0.34204843640327454,0.3343876004219055,0.35245856642723083,0.367037296295166,0.2958648204803467,0.1094437688589096,0.25273600220680237,0.14029376208782196,0.22419176995754242,0.36610546708106995,0.28691285848617554,0.3388948142528534,0.48312777280807495,0.28611278533935547,0.33934029936790466,0.21075882017612457
生物多樣性,0.25464731454849243,0.29041552543640137,0.33130109310150146,0.32785698771476746,0.43594515323638916,0.3346099853515625,0.44281816482543945,0.3672559857368469,0.5071624517440796,0.20021197199821472,0.37574827671051025,0.30149513483047485,0.36253803968429565,0.47786179184913635,0.32658666372299194,0.35166817903518677,0.4299815595149994,0.4023318290710449,0.40453532338142395,0.27936774492263794
健康,0.3333203196525574,0.3672516345977783,0.4658614993095398,0.37308943271636963,0.4952913522720337,0.3862272799015045,0.5882534980773926,0.4713065028190613,0.37826603651046753,0.3094574213027954,0.4749828279018402,0.4042617678642273,0.374525249004364,0.5258466601371765,0.402728796005249,0.4277827739715576,0.4695588946342468,0.44976967573165894,0.509771466255188,0.373735249042511
