AREA,回收,○,時尚,購買,服飾,檢自,APP,永續,商品,品牌,tw,遊戲,紡拓會,系統,環境,id,件,企劃,UNI,原料
災害,0.34474802017211914,0.3792562186717987,0.21534496545791626,0.2513432502746582,0.24761749804019928,0.5314382314682007,0.19768574833869934,0.4672958254814148,0.35629546642303467,0.14690272510051727,0.3434748947620392,0.3720821738243103,0.42881643772125244,0.35233208537101746,0.46808987855911255,0.32063767313957214,0.5521583557128906,0.5140282511711121,0.4437098205089569,0.26838260889053345
維生基礎設施,0.3798232078552246,0.24785780906677246,0.20548121631145477,0.23427850008010864,0.2505551278591156,0.33988040685653687,0.24618834257125854,0.36710530519485474,0.39549675583839417,0.18479584157466888,0.26562243700027466,0.2940475344657898,0.43285152316093445,0.38383054733276367,0.6221895217895508,0.2775750458240509,0.41095131635665894,0.4885454773902893,0.3889678418636322,0.37057197093963623
水資源,0.39632731676101685,0.2123047411441803,0.14770939946174622,0.26285022497177124,0.17282359302043915,0.30055153369903564,0.21586373448371887,0.2633931636810303,0.3965553641319275,0.1872309446334839,0.2270510345697403,0.24799399077892303,0.3356277346611023,0.3701351284980774,0.5211246609687805,0.21403777599334717,0.38791942596435547,0.3800773322582245,0.3793807625770569,0.4638253450393677
土地使用,0.3808639943599701,0.2639651596546173,0.21902614831924438,0.32968106865882874,0.22381100058555603,0.37508994340896606,0.2373216152191162,0.3124207556247711,0.40943726897239685,0.18181636929512024,0.2356380671262741,0.3241700530052185,0.413288414478302,0.3318536877632141,0.554588794708252,0.30315184593200684,0.46578294038772583,0.45001330971717834,0.3943372368812561,0.3903650939464569
海岸,0.28973862528800964,0.37799733877182007,0.2813696563243866,0.3089604377746582,0.25955188274383545,0.46436607837677,0.2244465947151184,0.4435443580150604,0.35724806785583496,0.289524644613266,0.2857785224914551,0.3526790738105774,0.40099936723709106,0.23622894287109375,0.42868679761886597,0.3724316954612732,0.47851669788360596,0.4505389332771301,0.43488964438438416,0.3119305372238159
能源,0.30362045764923096,0.32637399435043335,0.3042747974395752,0.3025917410850525,0.2815433442592621,0.3699376881122589,0.21176809072494507,0.3905826210975647,0.4374842047691345,0.2534768879413605,0.3712567090988159,0.38449251651763916,0.4352670907974243,0.3912867307662964,0.5104483366012573,0.31454822421073914,0.4849884510040283,0.4849245250225067,0.40869954228401184,0.41323965787887573
農業生產,0.32937806844711304,0.19036489725112915,0.22449755668640137,0.3310086131095886,0.21618029475212097,0.277248740196228,0.1380022168159485,0.22419176995754242,0.4231254458427429,0.26846468448638916,0.17353811860084534,0.22673597931861877,0.3747585415840149,0.27374643087387085,0.38699474930763245,0.24284064769744873,0.35833048820495605,0.3942435383796692,0.3526652455329895,0.4848312437534332
生物多樣性,0.3210502862930298,0.3271758258342743,0.31013941764831543,0.3055111765861511,0.3304027318954468,0.34694191813468933,0.2117660641670227,0.36253803968429565,0.4095574617385864,0.3055265247821808,0.29023048281669617,0.2581396698951721,0.42395541071891785,0.3009205460548401,0.5834065079689026,0.2785344123840332,0.45154276490211487,0.41007840633392334,0.39930593967437744,0.3484461307525635
健康,0.19523389637470245,0.3536626696586609,0.2856719195842743,0.3270394206047058,0.2838779091835022,0.5315016508102417,0.2777658700942993,0.374525249004364,0.4553576707839966,0.2500320374965668,0.33354708552360535,0.3724547326564789,0.364604115486145,0.3620700240135193,0.46215927600860596,0.40934836864471436,0.5202344059944153,0.4425427317619324,0.4451804757118225,0.32779115438461304
