AREA,食物,剩食,餐廳,浪費,計劃,廚餘,料理,溫室,氣體,功能,年,減少,消費者,APP,臺北市,餐館,食,指南,減量,約
災害,0.2820052206516266,0.4094325006008148,0.2585454285144806,0.4429508447647095,0.45556560158729553,0.228261798620224,0.2559291124343872,0.2834755480289459,0.3440096974372864,0.4084487855434418,0.40408456325531006,0.4282877445220947,0.19399850070476532,0.19768574833869934,0.2638089656829834,0.21335266530513763,0.34006062150001526,0.4148152470588684,0.4572455585002899,0.5177708864212036
維生基礎設施,0.2772201597690582,0.30438026785850525,0.23106679320335388,0.3296143412590027,0.5037741661071777,0.22583791613578796,0.21695566177368164,0.4977550804615021,0.1825898289680481,0.4658995270729065,0.33390992879867554,0.2792123258113861,0.3035314977169037,0.24618834257125854,0.2644859254360199,0.18832063674926758,0.30093613266944885,0.4901600778102875,0.33842360973358154,0.3249351978302002
水資源,0.3170665502548218,0.31177860498428345,0.18135353922843933,0.3573855459690094,0.3599156141281128,0.19514483213424683,0.23084262013435364,0.40095293521881104,0.3534029722213745,0.3642345666885376,0.2832065224647522,0.3243991434574127,0.28014522790908813,0.21586373448371887,0.2073666751384735,0.1492011398077011,0.34123310446739197,0.4010801911354065,0.3639755845069885,0.3402252793312073
土地使用,0.2506519556045532,0.2729220390319824,0.1699209064245224,0.4185795485973358,0.3658277988433838,0.2075834721326828,0.25426754355430603,0.2691294848918915,0.22651620209217072,0.4478779435157776,0.3385356664657593,0.3509494662284851,0.2731771171092987,0.2373216152191162,0.30212029814720154,0.1326448768377304,0.32182061672210693,0.4591585397720337,0.3584989309310913,0.3747539520263672
海岸,0.38433802127838135,0.3858935832977295,0.3634818494319916,0.3430744409561157,0.40914207696914673,0.31841593980789185,0.35466548800468445,0.267083078622818,0.23045605421066284,0.3694345951080322,0.3889019191265106,0.30813801288604736,0.2404976487159729,0.2244465947151184,0.2916066348552704,0.34362590312957764,0.42571553587913513,0.4851953983306885,0.3495404124259949,0.512999951839447
能源,0.34053391218185425,0.33846378326416016,0.2516978979110718,0.37077683210372925,0.39446595311164856,0.3576364517211914,0.36707812547683716,0.6125487685203552,0.48979824781417847,0.4716043770313263,0.4217373728752136,0.336411714553833,0.3113546073436737,0.21176809072494507,0.21442286670207977,0.19737498462200165,0.3813967704772949,0.4070153534412384,0.4244755208492279,0.4309401214122772
農業生產,0.4908079504966736,0.37420618534088135,0.24536876380443573,0.2765381336212158,0.3343876004219055,0.5300325155258179,0.5744671821594238,0.2936529219150543,0.2288181185722351,0.3541921377182007,0.29983943700790405,0.2673405706882477,0.27624455094337463,0.1380022168159485,0.18140548467636108,0.23347647488117218,0.4228660464286804,0.33649569749832153,0.3035825788974762,0.2998795807361603
生物多樣性,0.38582634925842285,0.30054885149002075,0.19356676936149597,0.24893994629383087,0.3346099853515625,0.18602707982063293,0.21976184844970703,0.3709698021411896,0.17223644256591797,0.3402838110923767,0.34564322233200073,0.26746535301208496,0.27749642729759216,0.2117660641670227,0.17101608216762543,0.16956277191638947,0.3740137815475464,0.4529721736907959,0.2952847182750702,0.39575886726379395
健康,0.4528443217277527,0.4107058048248291,0.28593093156814575,0.3526649475097656,0.3862272799015045,0.2769652009010315,0.30135297775268555,0.3623232841491699,0.2962888479232788,0.4871523976325989,0.4208764135837555,0.36360472440719604,0.3553459942340851,0.2777658700942993,0.2280505895614624,0.24136698246002197,0.5117000341415405,0.4719102382659912,0.4325064420700073,0.48225390911102295
