AREA,ns,tberefused,wi,Whatcomestomindwhenyouhearzerowasteshopping,Alot,inadayyouusealotofplasticfromplasticbagstocontainerswhengroceryshopping,Weareco,umersbynaturebutitdoesnothavetobethewayithasalwaysbeen,ittakes10to1000yearsforplastictodecomposeandthat,squitealongtime,ZerowastemarketCJCUhelpsustackletheproblemfromapointofadvantage,wetargettheclosestpeoplewehaveoncampusandoneofthehighestgroup,thestudents,ToliveZero,Wasteistoeliminate,ordrasticallyreduce,theproductsthatgetsenttolandfillandrecyclingcenters,Asyouglanceoutyourwindowatyour,fullbi,thismightseemunrealisticandunattainable
災害,0.43958258628845215,0.3554179072380066,0.3554046154022217,0.2183876633644104,0.3561837673187256,0.15078185498714447,0.38059958815574646,0.2556871771812439,0.15007290244102478,0.25754430890083313,0.18112584948539734,0.2444082498550415,0.25495263934135437,0.38944298028945923,0.23279595375061035,0.16856947541236877,0.21322911977767944,0.31938648223876953,0.32343584299087524,0.23258021473884583
維生基礎設施,0.38086920976638794,0.3131789565086365,0.385747492313385,0.24003782868385315,0.2706277370452881,0.2217416763305664,0.3155900835990906,0.3305547535419464,0.11229998618364334,0.2757018804550171,0.285525381565094,0.19980812072753906,0.23311011493206024,0.30818459391593933,0.25090786814689636,0.17770256102085114,0.4821280837059021,0.25527796149253845,0.20485661923885345,0.2597355842590332
水資源,0.35142403841018677,0.29339802265167236,0.33356043696403503,0.13519681990146637,0.3486807942390442,0.16641399264335632,0.2910354435443878,0.34951505064964294,0.10616795718669891,0.18780697882175446,0.2441357672214508,0.31358808279037476,0.229425847530365,0.25681960582733154,0.3915766179561615,0.20372405648231506,0.302229106426239,0.23408454656600952,0.24835160374641418,0.15546667575836182
土地使用,0.4473811089992523,0.327766478061676,0.36037537455558777,0.15444283187389374,0.34724509716033936,0.126659095287323,0.3071695566177368,0.27202948927879333,0.03200400993227959,0.25606319308280945,0.20161762833595276,0.14608722925186157,0.24865636229515076,0.1919555515050888,0.34175848960876465,0.21798895299434662,0.33549314737319946,0.24809721112251282,0.32015225291252136,0.07321199029684067
海岸,0.47144991159439087,0.3205567002296448,0.3771728277206421,0.16926033794879913,0.4302925765514374,0.15020419657230377,0.3829661011695862,0.3768566846847534,0.08413996547460556,0.2445782721042633,0.12527048587799072,0.23225706815719604,0.24583293497562408,0.36491858959198,0.16520918905735016,0.1798635721206665,0.2293042540550232,0.3011498749256134,0.3682134449481964,0.1679096221923828
能源,0.43128591775894165,0.31935933232307434,0.4443880319595337,0.21909479796886444,0.3640039563179016,0.10979534685611725,0.34499943256378174,0.23863348364830017,0.07944705337285995,0.2760070264339447,0.276822566986084,0.1986815631389618,0.24654507637023926,0.31589552760124207,0.1338789463043213,0.21906353533267975,0.23861846327781677,0.2882686257362366,0.3021233379840851,0.24267032742500305
農業生產,0.37486064434051514,0.24810448288917542,0.2510673403739929,0.09366339445114136,0.31114888191223145,0.08451230078935623,0.30659475922584534,0.16350221633911133,0.033650144934654236,0.1659141331911087,0.13512827455997467,0.09845416992902756,0.19633600115776062,0.1246374174952507,0.42637738585472107,0.20196029543876648,0.2208847850561142,0.18362492322921753,0.21912994980812073,0.04543159157037735
生物多樣性,0.3752484619617462,0.31988292932510376,0.32850104570388794,0.23217247426509857,0.2953910529613495,0.1611131727695465,0.3283715844154358,0.400771826505661,0.15556028485298157,0.28998956084251404,0.18967397511005402,0.3030523955821991,0.2281312495470047,0.33475831151008606,0.2867538034915924,0.12433198094367981,0.2812984585762024,0.2261476218700409,0.25751927495002747,0.2412462830543518
健康,0.46150708198547363,0.37060806155204773,0.3999080955982208,0.1748654991388321,0.34858009219169617,0.11898048222064972,0.34083032608032227,0.2656089663505554,0.10295756161212921,0.25744473934173584,0.2140514850616455,0.31085777282714844,0.29062750935554504,0.3436499834060669,0.22341525554656982,0.16062283515930176,0.176693394780159,0.2985859513282776,0.3636263608932495,0.2374391257762909
